DRINKS,,,SNACKS,,
COFFEE,TEA,OTHER DRINKS,SANDWICHES,PANINIS,OTHER SNACKS
,,,,,
Latte,English Breakfast,Cans of Pop,Bacon Bap,Tuna Melt Panini,Cheese & Tomato Toastie
Cappuccino,Decaf,Milkshake (ask for available flavours),Sausage bap,Mozzarella & Tomato Panini,Cheese & Ham Toastie
Flat White,Earl Grey,Glass of Milk,Egg & Mushroom Bap,Ham & Cheese Panini,Breakfast Burrito
Americano,Herbal Tea,Mineral Water,Ham & Cheese Croissant,Chicken & Pesto Panini,Vegan Meatball Wrap
Espresso,,Hot Chocolate,,Steak & Emmental Panini,Crisps
Decaf,,,,,
filter coffee (our house blend),,,,,
