Item,Type,Category
Latte,Coffee,Drinks
Cappuccino,Coffee,Drinks
Flat White,Coffee,Drinks
Americano,Coffee,Drinks
Espresso,Coffee,Drinks
Decaf,Coffee,Drinks
filter coffee (our house blend),Coffee,Drinks
English Breakfast,Tea,Drinks
Decaf,Tea,Drinks
Earl Grey,Tea,Drinks
Herbal Tea,Tea,Drinks
Cans of Pop,Other Drinks,Drinks
Milkshake (ask for available flavours),Other Drinks,Drinks
Glass of Milk,Other Drinks,Drinks
Mineral Water,Other Drinks,Drinks
Hot Chocolate,Other Drinks,Drinks
Bacon Bap,Sandwiches,Snacks
Sausage bap,Sandwiches,Snacks
Egg & Mushroom Bap,Sandwiches,Snacks
Ham & Cheese Croissant,Sandwiches,Snacks
Tuna Melt Panini,Paninis,Snacks
Mozzarella & Tomato Panini,Paninis,Snacks
Ham & Cheese Panini,Paninis,Snacks
Chicken & Pesto Panini,Paninis,Snacks
Steak & Emmental Panini,Paninis,Snacks
Cheese & Tomato Toastie,Other Snacks,Snacks
Cheese & Ham Toastie,Other Snacks,Snacks
Breakfast Burrito,Other Snacks,Snacks
Vegan Meatball Wrap,Other Snacks,Snacks
Crisps,Other Snacks,Snacks
Chocolate Bar,Other Snacks,Snacks
Rocky Road,Cakes,Snacks
Doughnut,Cakes,Snacks
Croissant,Cakes,Snacks
Cheesecake,Cakes,Snacks
Apple Pie,Cakes,Snacks
